date,socmed,mean_cases,mean_deaths,mean_vaxxed,mean_dose1,mean_cases_adj,mean_deaths_adj,mean_compvax_adj,mean_dose1_adj
2020-02-08,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-08,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-09,Both Facebook and Twitter,1.4,0,0,0,7.982583081937306e-7,0,0,0
2020-02-09,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
2020-02-09,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-09,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-10,Both Facebook and Twitter,1.3333333333333333,0,0,0,7.152288555255948e-7,0,0,0
2020-02-10,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
2020-02-10,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-10,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-11,Both Facebook and Twitter,1.3333333333333333,0,0,0,7.152288555255948e-7,0,0,0
2020-02-11,Twitter but no Facebook,2,0,0,0,3.915209099572381e-7,0,0,0
2020-02-11,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-11,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-12,Both Facebook and Twitter,1.3333333333333333,0,0,0,7.152288555255948e-7,0,0,0
2020-02-12,Twitter but no Facebook,1.5,0,0,0,4.4245195196676257e-7,0,0,0
2020-02-12,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-12,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-13,Both Facebook and Twitter,1.3333333333333333,0,0,0,7.152288555255948e-7,0,0,0
2020-02-13,Twitter but no Facebook,2,0,0,0,6.891434489549061e-7,0,0,0
2020-02-13,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-13,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-14,Both Facebook and Twitter,1.3333333333333333,0,0,0,7.152288555255948e-7,0,0,0
2020-02-14,Twitter but no Facebook,2,0,0,0,6.891434489549061e-7,0,0,0
2020-02-14,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-14,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-15,Both Facebook and Twitter,1.3333333333333333,0,0,0,7.152288555255948e-7,0,0,0
2020-02-15,Twitter but no Facebook,2,0,0,0,6.891434489549061e-7,0,0,0
2020-02-15,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-15,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-16,Both Facebook and Twitter,1.3333333333333333,0,0,0,7.152288555255948e-7,0,0,0
2020-02-16,Twitter but no Facebook,2,0,0,0,6.891434489549061e-7,0,0,0
2020-02-16,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-16,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-17,Both Facebook and Twitter,2.5714285714285716,0,0,0,3.1004150198616717e-6,0,0,0
2020-02-17,Twitter but no Facebook,2,0,0,0,6.891434489549061e-7,0,0,0
2020-02-17,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-17,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-18,Both Facebook and Twitter,2.5714285714285716,0,0,0,3.1004150198616717e-6,0,0,0
2020-02-18,Twitter but no Facebook,2,0,0,0,6.891434489549061e-7,0,0,0
2020-02-18,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-18,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-19,Both Facebook and Twitter,2.5714285714285716,0,0,0,3.1004150198616717e-6,0,0,0
2020-02-19,Twitter but no Facebook,2,0,0,0,6.891434489549061e-7,0,0,0
2020-02-19,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-19,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-20,Both Facebook and Twitter,2.5,0,0,0,3.856590995601865e-6,0,0,0
2020-02-20,Twitter but no Facebook,2,0,0,0,6.891434489549061e-7,0,0,0
2020-02-20,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-20,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-21,Both Facebook and Twitter,2.3333333333333335,0,0,0,3.4993449687221453e-6,0,0,0
2020-02-21,Twitter but no Facebook,3,0,0,0,1.1825264429311932e-6,0,0,0
2020-02-21,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-21,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-22,Both Facebook and Twitter,2.3333333333333335,0,0,0,3.4993449687221453e-6,0,0,0
2020-02-22,Twitter but no Facebook,3,0,0,0,1.1825264429311932e-6,0,0,0
2020-02-22,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-22,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-23,Both Facebook and Twitter,2.3333333333333335,0,0,0,3.4993449687221453e-6,0,0,0
2020-02-23,Twitter but no Facebook,3,0,0,0,1.1825264429311932e-6,0,0,0
2020-02-23,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-23,Facebook but no Twitter,1,0,0,0,1.5070429487694999e-6,0,0,0
2020-02-24,Both Facebook and Twitter,2.5555555555555554,0,0,0,3.821020538646476e-6,0,0,0
2020-02-24,Facebook but no Twitter,1.75,0,0,0,3.2060195914828985e-6,0,0,0
2020-02-24,Twitter but no Facebook,6,0,0,0,2.662675424860054e-6,0,0,0
2020-02-24,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-25,Both Facebook and Twitter,2.5,0,0,0,3.6988326391776465e-6,0,0,0
2020-02-25,Facebook but no Twitter,1.75,0,0,0,3.2060195914828985e-6,0,0,0
2020-02-25,Twitter but no Facebook,6,0,0,0,2.662675424860054e-6,0,0,0
2020-02-25,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-26,Both Facebook and Twitter,2.3076923076923075,0,0,0,3.965654986076514e-6,0,0,0
2020-02-26,Facebook but no Twitter,4.25,0,0,0,8.799674149751998e-6,0,0,0
2020-02-26,Twitter but no Facebook,6,0,0,0,2.662675424860054e-6,0,0,0
2020-02-26,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-27,Both Facebook and Twitter,2.3076923076923075,0,0,0,3.965654986076514e-6,0,0,0
2020-02-27,Facebook but no Twitter,4.25,0,0,0,8.799674149751998e-6,0,0,0
2020-02-27,Twitter but no Facebook,6,0,0,0,2.662675424860054e-6,0,0,0
2020-02-27,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-28,Both Facebook and Twitter,2.2857142857142856,0,0,0,3.7512544733868665e-6,0,0,0
2020-02-28,Facebook but no Twitter,3.8,0,0,0,7.611981612340562e-6,0,0,0
2020-02-28,Twitter but no Facebook,6.5,0,0,0,2.9093669218481974e-6,0,0,0
