fips,STNAME,population
12011,Florida,1958105
12013,Florida,14078
12015,Florida,194711
12017,Florida,153010
12019,Florida,221770
12021,Florida,392973
12023,Florida,72654
12027,Florida,38520
12029,Florida,17057
12031,Florida,966728
12033,Florida,322364
12035,Florida,118451
12037,Florida,12201
12039,Florida,45277
12041,Florida,18885
12043,Florida,14198
12045,Florida,13534
12047,Florida,14521
12049,Florida,26822
12051,Florida,42813
12053,Florida,198792
12055,Florida,106639
12057,Florida,1497957
12059,Florida,19594
12061,Florida,162518
12063,Florida,46085
12065,Florida,14543
12067,Florida,8482
12069,Florida,375492
12071,Florida,790767
12073,Florida,295460
12075,Florida,42214
12077,Florida,8364
12079,Florida,18707
12081,Florida,411219
12083,Florida,373513
12085,Florida,162088
12086,Florida,2707303
12087,Florida,73900
12089,Florida,91113
12091,Florida,212820
12093,Florida,42297
12095,Florida,1404396
12097,Florida,385315
12099,Florida,1507600
12101,Florida,570412
12103,Florida,976802
12105,Florida,744552
12107,Florida,74815
12109,Florida,278715
12111,Florida,337186
12113,Florida,189139
12115,Florida,443465
12117,Florida,474171
12119,Florida,139018
12121,Florida,44851
12123,Florida,21600
12125,Florida,15182
12127,Florida,561497
12129,Florida,34319
12131,Florida,76648
12133,Florida,25932
13001,Georgia,18325
13003,Georgia,8393
13005,Georgia,11036
13007,Georgia,2971
13009,Georgia,45099
13011,Georgia,19352
13013,Georgia,85588
13015,Georgia,109426
13017,Georgia,16614
13019,Georgia,19408
13021,Georgia,152737
13023,Georgia,12955
13025,Georgia,19202
13027,Georgia,15357
13029,Georgia,40755
13031,Georgia,80839
13033,Georgia,22648
13035,Georgia,25426
13037,Georgia,6231
13039,Georgia,55388
13043,Georgia,10985
13045,Georgia,121633
13047,Georgia,67996
13049,Georgia,13430
13051,Georgia,289463
13053,Georgia,10551
13055,Georgia,24843
13057,Georgia,265274
13059,Georgia,127795
13061,Georgia,2866
13063,Georgia,292646
13065,Georgia,6582
13067,Georgia,762944
13069,Georgia,43218
13071,Georgia,45542
13073,Georgia,160377
13075,Georgia,17291
13077,Georgia,150849
13079,Georgia,12231
13081,Georgia,22034
13083,Georgia,16057
13085,Georgia,27113
13087,Georgia,26457
13089,Georgia,762009
13091,Georgia,20452
13093,Georgia,13174
13095,Georgia,86477
13097,Georgia,147988
13099,Georgia,10037
13101,Georgia,4002
13103,Georgia,65765
13105,Georgia,19335
13107,Georgia,22507
13109,Georgia,10638
13111,Georgia,26521
13113,Georgia,115821
13115,Georgia,98604
13117,Georgia,250847
13119,Georgia,23504
13121,Georgia,1077402
13123,Georgia,31978
13125,Georgia,2984
13127,Georgia,85568
13129,Georgia,58780
13131,Georgia,24491
13133,Georgia,18837
13135,Georgia,942627
13137,Georgia,46047
13139,Georgia,206591
13141,Georgia,8494
13143,Georgia,30383
13145,Georgia,36080
13147,Georgia,26406
13149,Georgia,11973
13151,Georgia,239139
13153,Georgia,160110
13155,Georgia,9387
13157,Georgia,76199
13159,Georgia,14483
13161,Georgia,15213
13163,Georgia,15267
13165,Georgia,8746
13167,Georgia,9667
13169,Georgia,28787
13171,Georgia,19261
13173,Georgia,10737
13175,Georgia,47512
13177,Georgia,30234
13179,Georgia,63004
13181,Georgia,8031
13183,Georgia,20171
13185,Georgia,118268
13187,Georgia,34186
13189,Georgia,21162
13191,Georgia,14387
13193,Georgia,12712
13195,Georgia,30457
13197,Georgia,8516
13199,Georgia,21164
13201,Georgia,5622
13205,Georgia,21602
13207,Georgia,28042
13209,Georgia,9012
13211,Georgia,19636
13213,Georgia,40032
13215,Georgia,196442
13217,Georgia,113295
13219,Georgia,41124
13221,Georgia,15383
13223,Georgia,173359
13225,Georgia,27950
13227,Georgia,33127
13229,Georgia,19522
13231,Georgia,19121
13233,Georgia,42840
13235,Georgia,11191
13237,Georgia,22520
13239,Georgia,2271
13241,Georgia,17273
13243,Georgia,6682
13245,Georgia,202079
13247,Georgia,90939
13249,Georgia,5196
13251,Georgia,14012
13253,Georgia,8060
13255,Georgia,67414
13257,Georgia,26107
13259,Georgia,6689
13261,Georgia,29282
13263,Georgia,6143
13265,Georgia,1562
13267,Georgia,25365
13269,Georgia,8074
13271,Georgia,15781
13273,Georgia,8523
13275,Georgia,44372
13277,Georgia,40719
13279,Georgia,26973
13281,Georgia,12247
13283,Georgia,6822
13285,Georgia,70214
13287,Georgia,7882
13289,Georgia,8103
13291,Georgia,25358
13293,Georgia,26527
13295,Georgia,70116
13297,Georgia,96875
13299,Georgia,35826
13301,Georgia,5232
13303,Georgia,20150
13305,Georgia,30023
13307,Georgia,2595
13309,Georgia,7751
13311,Georgia,31094
13313,Georgia,103837
13315,Georgia,8502
13317,Georgia,9694
13319,Georgia,8812
13321,Georgia,19972
15001,Hawaii,203340
15003,Hawaii,963826
15005,Hawaii,87
15007,Hawaii,71851
15009,Hawaii,167902
16001,Idaho,494399
16003,Idaho,4447
16005,Idaho,88795
16007,Idaho,6143
16009,Idaho,9430
16011,Idaho,47202
16013,Idaho,23426
16015,Idaho,8065
16017,Idaho,46817
16019,Idaho,122134
16021,Idaho,12656
16023,Idaho,2646
16025,Idaho,1130
16027,Idaho,237053
16029,Idaho,7123
16031,Idaho,24277
16033,Idaho,852
16035,Idaho,8846
16037,Idaho,4249
16039,Idaho,27448
16041,Idaho,14215
16043,Idaho,13218
16045,Idaho,18703
16047,Idaho,15618
16049,Idaho,16823
16051,Idaho,30581
16053,Idaho,24578
16055,Idaho,170628
16057,Idaho,40830
16059,Idaho,8054
16061,Idaho,3838
16063,Idaho,5358
16065,Idaho,40318
16067,Idaho,21216
16069,Idaho,40755
16071,Idaho,4520
16073,Idaho,12133
16075,Idaho,24771
16077,Idaho,7643
16079,Idaho,12911
16081,Idaho,12501
16083,Idaho,88411
16085,Idaho,11792
16087,Idaho,10360
17001,Illinois,64783
17003,Illinois,5497
17005,Illinois,16262
17007,Illinois,52777
17009,Illinois,6546
17011,Illinois,32303
17013,Illinois,4616
17015,Illinois,14241
17017,Illinois,11925
17019,Illinois,209192
17021,Illinois,32075
17023,Illinois,15268
17025,Illinois,13079
17027,Illinois,37398
17029,Illinois,50383
17031,Illinois,5108284
17033,Illinois,18512
17035,Illinois,10649
17037,Illinois,104491
17039,Illinois,15368
17041,Illinois,19510
17043,Illinois,917481
17045,Illinois,16858
17047,Illinois,6356
17049,Illinois,34065
17051,Illinois,21264
17053,Illinois,12949
17055,Illinois,38060
17057,Illinois,33690
17059,Illinois,4793
17061,Illinois,12702
17063,Illinois,50993
17065,Illinois,8084
17067,Illinois,17422
17069,Illinois,3808
17071,Illinois,6535
17073,Illinois,48411
17075,Illinois,26711
17077,Illinois,56675
17079,Illinois,9465
17081,Illinois,37235
17083,Illinois,21616
17085,Illinois,21239
17087,Illinois,12358
17089,Illinois,531010
17091,Illinois,108594
17093,Illinois,130638
17095,Illinois,49053
17097,Illinois,693593
17099,Illinois,107571
17101,Illinois,15467
17103,Illinois,33647
17105,Illinois,35414
17107,Illinois,28383
17109,Illinois,29295
17111,Illinois,305888
17113,Illinois,171256
17115,Illinois,103015
17117,Illinois,44567
17119,Illinois,262635
17121,Illinois,37045
17123,Illinois,11309
17125,Illinois,13173
17127,Illinois,13636
17129,Illinois,12068
17131,Illinois,15225
17133,Illinois,34739
17135,Illinois,28045
17137,Illinois,33400
17139,Illinois,14347
17141,Illinois,50306
17143,Illinois,177652
17145,Illinois,20664
17147,Illinois,16355
17149,Illinois,15239
17151,Illinois,4142
17153,Illinois,5201
17155,Illinois,5716
17157,Illinois,31351
17159,Illinois,15507
17161,Illinois,140907
17163,Illinois,258046
17165,Illinois,23182
17167,Illinois,193882
17169,Illinois,6738
17171,Illinois,4950
17173,Illinois,21299
17175,Illinois,5262
17177,Illinois,43831
17179,Illinois,130777
17181,Illinois,16498
17183,Illinois,74855
17185,Illinois,11190
17187,Illinois,16696
17189,Illinois,13764
17191,Illinois,16031
17193,Illinois,13364
17195,Illinois,54656
17197,Illinois,688726
17199,Illinois,66415
17201,Illinois,281295
17203,Illinois,38091
18001,Indiana,35839
18003,Indiana,382187
18005,Indiana,84447
18007,Indiana,8741
18009,Indiana,11782
18011,Indiana,69347
18013,Indiana,15112
18015,Indiana,20228
18017,Indiana,37388
18019,Indiana,119266
18021,Indiana,26246
18023,Indiana,32206
18025,Indiana,10629
18027,Indiana,33505
18029,Indiana,49824
18031,Indiana,26584
18033,Indiana,43670
18035,Indiana,113454
18037,Indiana,42542
18039,Indiana,206161
18041,Indiana,22892
18043,Indiana,78936
18045,Indiana,16511
18047,Indiana,22761
18049,Indiana,20018
18051,Indiana,33825
18053,Indiana,65225
18055,Indiana,32203
18057,Indiana,344238
18059,Indiana,79553
18061,Indiana,40682
18063,Indiana,173251
18065,Indiana,48033
18067,Indiana,82732
18069,Indiana,36395
18071,Indiana,44222
18073,Indiana,33440
18075,Indiana,20416
18077,Indiana,32110
18079,Indiana,27515
18081,Indiana,160607
18083,Indiana,36522
18085,Indiana,78988
18087,Indiana,40119
18089,Indiana,487536
18091,Indiana,109663
18093,Indiana,45496
18095,Indiana,129681
18097,Indiana,966183
18099,Indiana,46108
18101,Indiana,10079
18103,Indiana,35328
18105,Indiana,148219
18107,Indiana,38365
18109,Indiana,70707
18111,Indiana,13907
18113,Indiana,47832
18115,Indiana,5892
18117,Indiana,19651
18119,Indiana,20833
18121,Indiana,16871
18123,Indiana,19154
18125,Indiana,12378
18127,Indiana,170980
18129,Indiana,25275
18131,Indiana,12388
18133,Indiana,37469
18135,Indiana,24191
18137,Indiana,28448
18139,Indiana,16649
18141,Indiana,271484
18143,Indiana,23788
18145,Indiana,44871
18147,Indiana,20225
18149,Indiana,23049
18151,Indiana,34831
18153,Indiana,20578
18155,Indiana,10724
18157,Indiana,196115
18159,Indiana,15227
18161,Indiana,7119
18163,Indiana,182447
18165,Indiana,15329
18167,Indiana,106608
18169,Indiana,30784
18171,Indiana,8194
18173,Indiana,63269
18175,Indiana,28213
18177,Indiana,65778
18179,Indiana,28142
18181,Indiana,24165
18183,Indiana,34378
19001,Iowa,7059
19003,Iowa,3588
19005,Iowa,13642
19007,Iowa,12430
19009,Iowa,5481
19011,Iowa,25414
19013,Iowa,130786
19015,Iowa,26277
19017,Iowa,25311
19019,Iowa,21287
19021,Iowa,19772
19023,Iowa,14333
19025,Iowa,9473
19027,Iowa,19914
19029,Iowa,12817
19031,Iowa,18485
19033,Iowa,42103
19035,Iowa,11190
19037,Iowa,11834
19039,Iowa,9353
19041,Iowa,15976
19043,Iowa,17321
19045,Iowa,46392
19047,Iowa,16834
19049,Iowa,96963
19051,Iowa,9051
19053,Iowa,7769
19055,Iowa,16937
19057,Iowa,38708
19059,Iowa,17549
19061,Iowa,97590
19063,Iowa,9095
19065,Iowa,19258
19067,Iowa,15480
19069,Iowa,9971
19071,Iowa,6729
19073,Iowa,8795
